행정동코드,읍면동명,거래수,년,평균거래금액,지니계수_거래금액,평균평당거래금액,지니계수_평당거래금액
2729057100,용산1동,338,2024,25325.5,0.229,1080.9,0.15
2729057600,이곡1동,181,2024,19340.6,0.184,871.4,0.072
2729058500,신당동,48,2024,26864.6,0.095,1008.7,0.053
2729059000,본리동,102,2024,35107.8,0.136,1402.8,0.115
2729061500,진천동,155,2024,30675.7,0.213,1245.9,0.171
2729061700,유천동,560,2024,42892.4,0.203,1670.5,0.155
2729062400,상인1동,206,2024,29109.5,0.281,1205.1,0.177
2729062800,도원동,160,2024,19382.8,0.222,847.2,0.125
2729063000,송현1동,33,2024,25069.7,0.255,956.3,0.11
2729064000,송현2동,60,2024,18929.0,0.373,893.4,0.196
2771025000,화원읍,148,2024,24532.4,0.209,1043.1,0.146
2771025300,논공읍,90,2024,7053.1,0.225,397.8,0.141
2771025600,다사읍,506,2024,27889.8,0.216,1203.6,0.167
2771025900,유가읍,191,2024,26779.0,0.104,1082.6,0.049
2771026200,옥포읍,98,2024,19954.1,0.182,973.1,0.113
2771026500,현풍읍,60,2024,18870.8,0.223,856.8,0.139
2771031000,가창면,6,2024,20200.0,0.151,915.5,0.124
2771038000,구지면,106,2024,19806.6,0.142,902.5,0.085
2811053000,신포동,35,2024,19832.9,0.228,793.8,0.143
2811054000,신흥동,47,2024,23889.6,0.116,1051.9,0.09
2811056000,도원동,3,2024,16100.0,0.072,806.5,0.012
2811061500,개항동,8,2024,21050.0,0.124,1040.5,0.087
2811062200,영종1동,65,2024,40397.7,0.106,1576.7,0.084
2811063000,용유동,131,2024,34156.9,0.177,1448.7,0.123
2814051000,만석동,23,2024,19906.5,0.1,1027.0,0.043
2814052500,화수1.화평동,11,2024,17945.5,0.217,1030.7,0.084
2814055500,송현1.2동,101,2024,20725.2,0.177,1128.8,0.084
2814060500,송림3.5동,76,2024,26046.4,0.148,1249.9,0.105
2817751000,숭의2동,57,2024,23501.8,0.28,1164.2,0.222
2817754000,용현1.4동,208,2024,32540.9,0.244,1363.0,0.225
2817758000,학익1동,193,2024,28327.0,0.228,1239.7,0.168
2817760000,도화1동,106,2024,35510.8,0.237,1599.5,0.181
2817762000,주안1동,313,2024,29128.2,0.26,1489.8,0.203
2817770000,관교동,22,2024,37054.5,0.128,1288.6,0.085
2817771000,문학동,1,2024,15750.0,0.0,875.1,0.0
2818563000,옥련1동,159,2024,26362.0,0.14,1251.6,0.087
2818575000,선학동,46,2024,31730.4,0.147,1221.4,0.113
2818576100,연수1동,269,2024,27227.4,0.198,1426.0,0.089
2818576600,청학동,66,2024,26256.1,0.186,1455.4,0.06
2818579500,동춘3동,284,2024,35102.6,0.146,1514.5,0.1
2818586000,송도5동,802,2024,78355.0,0.147,2882.3,0.102
2820051000,구월1동,294,2024,40899.5,0.179,1744.2,0.112
2820053000,간석1동,268,2024,32867.4,0.241,1452.4,0.159
2820056000,만수1동,399,2024,23692.9,0.234,1258.4,0.138
2820065000,장수서창동,1,2024,83000.0,0.0,1655.4,0.0
2820065500,서창2동,145,2024,40944.8,0.132,1638.8,0.103
2820066000,남촌도림동,36,2024,28905.6,0.137,1233.4,0.057
2820069000,논현1동,331,2024,43208.0,0.224,1612.0,0.113
2823751000,부평1동,235,2024,34618.1,0.268,1713.0,0.18
2823753000,부평3동,475,2024,33830.1,0.209,1547.0,0.174
2823758000,산곡2동,193,2024,32028.7,0.158,1454.9,0.097
2823764600,삼산1동,368,2024,34677.9,0.244,1607.9,0.151
2823765000,부개1동,227,2024,35456.2,0.22,1842.3,0.149
2823767000,일신동,41,2024,32165.9,0.123,1420.0,0.051
2824560100,효성1동,229,2024,31696.5,0.23,1518.6,0.212
2824561400,계산4동,248,2024,27209.1,0.263,1364.3,0.14
2824564000,작전서운동,345,2024,23778.8,0.243,1294.6,0.14
2824571000,계양1동,61,2024,32517.2,0.157,1409.9,0.111
2824572000,계양2동,134,2024,21060.1,0.206,1370.3,0.11
2824573000,계양3동,41,2024,43041.5,0.091,1638.7,0.055
2826051500,검암경서동,74,2024,36866.9,0.102,1581.8,0.099
2826053000,연희동,6,2024,23933.3,0.075,1102.3,0.039
2826053600,청라1동,380,2024,65018.5,0.122,2379.3,0.103
2826054200,가정1동,275,2024,33272.5,0.301,1502.3,0.233
2826055000,석남1동,108,2024,23615.7,0.235,1219.7,0.152
2826057500,신현원창동,85,2024,48387.1,0.127,1998.4,0.111
2826058000,가좌1동,202,2024,26579.2,0.247,1275.9,0.187
2826068000,검단동,54,2024,33519.4,0.126,1380.3,0.098
2826069000,불로대곡동,87,2024,26649.4,0.138,1185.8,0.126
2826072000,오류왕길동,124,2024,31785.5,0.137,1199.8,0.099
2826073000,마전동,257,2024,29180.0,0.148,1136.7,0.126
2826074000,아라동,528,2024,47793.6,0.184,1933.6,0.167
2871025000,강화읍,13,2024,12992.3,0.259,637.5,0.251
2871031000,선원면,9,2024,22561.1,0.066,855.6,0.041
